Date,Confirmed
2021-08-21,17106.0
2021-08-22,10402.0
2021-08-23,13383.0
2021-08-24,24296.0
2021-08-25,31445.0
2021-08-26,30077.0
2021-08-27,32801.0
2021-08-28,31265.0
2021-08-29,29836.0
2021-08-30,19622.0
2021-08-31,30203.0
2021-09-01,32803.0
2021-09-02,32097.0
2021-09-03,29322.0
2021-09-04,29682.0
2021-09-05,26701.0
2021-09-06,19688.0
2021-09-07,25772.0
2021-09-08,30196.0
2021-09-09,26200.0
2021-09-10,25010.0
2021-09-11,20487.0
2021-09-12,20240.0
2021-09-13,15058.0
2021-09-14,15876.0
2021-09-15,17681.0
2021-09-16,22182.0
2021-09-17,23260.0
2021-09-18,19325.0
2021-09-19,19653.0
2021-09-20,15692.0
2021-09-21,15768.0
2021-09-22,19675.0
2021-09-23,19682.0
2021-09-24,17983.0
2021-09-25,16671.0
2021-09-26,15951.0
2021-09-27,11699.0
2021-09-28,11196.0
2021-09-29,12161.0
2021-09-30,15914.0
2021-10-01,13834.0
2021-10-02,13217.0
2021-10-03,12297.0
2021-10-04,8850.0
2021-10-05,9735.0
2021-10-06,12616.0
2021-10-07,12288.0
2021-10-08,10944.0
2021-10-09,9470.0
2021-10-10,10691.0
2021-10-11,6996.0
2021-10-12,7823.0
2021-10-13,11079.0
2021-10-14,9246.0
2021-10-15,8867.0
2021-10-16,7955.0
2021-10-17,7555.0
2021-10-18,6676.0
2021-10-19,7643.0
2021-10-20,11150.0
2021-10-21,8733.0
2021-10-22,9361.0
2021-10-23,8909.0
2021-10-24,8538.0
2021-10-25,6664.0
2021-10-26,7163.0
2021-10-27,9445.0
2021-10-28,7738.0
2021-10-29,7722.0
2021-10-30,7427.0
2021-10-31,7167.0
2021-11-01,5297.0
2021-11-02,6444.0
2021-11-03,7312.0
2021-11-04,7545.0
2021-11-05,6580.0
2021-11-06,6546.0
2021-11-07,7124.0
2021-11-08,5404.0
2021-11-09,6409.0
2021-11-10,7540.0
2021-11-11,7224.0
2021-11-12,6674.0
2021-11-13,6468.0
2021-11-14,5848.0
2021-11-15,4547.0
2021-11-16,5516.0
2021-11-17,6849.0
2021-11-18,6111.0
2021-11-19,5754.0
2021-11-20,6075.0
2021-11-21,5080.0
2021-11-22,3698.0
2021-11-23,4972.0
2021-11-24,4280.0
2021-11-25,5987.0
2021-11-26,4677.0
2021-11-27,4741.0
2021-11-28,4350.0
2021-11-29,3382.0
2021-11-30,4723.0
2021-12-01,5405.0
2021-12-02,4700.0
2021-12-03,4995.0
2021-12-04,4557.0
2021-12-05,4450.0
2021-12-06,3277.0
2021-12-07,4656.0
2021-12-08,5038.0
2021-12-09,4169.0
2021-12-10,3972.0
2021-12-11,3795.0
2021-12-12,3777.0
2021-12-13,2434.0
2021-12-14,3377.0
2021-12-15,4006.0
2021-12-16,3404.0
2021-12-17,3471.0
2021-12-18,3297.0
2021-12-19,2995.0
2021-12-20,2230.0
2021-12-21,2748.0
2021-12-22,3205.0
2021-12-23,2514.0
2021-12-24,2605.0
2021-12-25,2407.0
2021-12-26,1824.0
2021-12-27,1636.0
2021-12-28,2474.0
